ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_SpeckleFinal
1	121	482.14814814814815	293.4259259259259	0	121	121
1	122	2160.4	292.875	0	122	122
1	123	484.6923076923077	298.24615384615385	0	123	123
1	124	2147.8813559322034	296.728813559322	0	124	124
1	125	211.77777777777777	297.77777777777777	0	125	125
1	126	565.9818181818182	298.56363636363636	0	126	126
1	127	240.37333333333333	297.4533333333333	0	127	127
1	128	233.73684210526315	301.44736842105266	0	128	128
1	129	241.18	303.08	0	129	129
1	130	620.6451612903226	306.6774193548387	0	130	130
1	131	227.04736842105262	303.16315789473686	0	131	131
1	132	515.125	307.03125	0	132	132
1	133	843.2181818181818	306.4	0	133	133
1	134	1832.62	308.48	0	134	134
1	135	1649.6538461538462	309.8974358974359	0	135	135
1	136	1891.9832402234638	309.4413407821229	0	136	136
1	137	213.7810218978102	313.2116788321168	0	137	137
1	138	868.046511627907	319.26356589147287	0	138	138
1	139	830.4893617021277	318.9148936170213	0	139	139
1	140	612.7647058823529	318.72549019607845	0	140	140
1	141	825.0495867768595	319.1735537190083	0	141	141
1	142	569.6666666666666	323.4761904761905	0	142	142
1	143	600.8240223463687	329.0670391061453	0	143	143
1	144	804.0322580645161	329.93548387096774	0	144	144
1	145	809.4516129032259	330.35483870967744	0	145	145
1	146	1679.197628458498	339.99209486166006	0	146	146
1	147	825.2921348314607	342.02247191011236	0	147	147
1	148	1652.6603773584907	342.6509433962264	0	148	148
1	149	855.1282051282051	342.1025641025641	0	149	149
1	150	1621.013422818792	348.67785234899327	0	150	150
1	151	1672.8333333333333	350.6354166666667	0	151	151
1	152	857.7064220183486	364.75688073394497	0	152	152
1	153	1684.6842105263158	370.56140350877195	0	153	153
1	154	1677.7941176470588	373.8529411764706	0	154	154
1	155	1646.1719745222929	375.5700636942675	0	155	155
1	156	862.8025477707006	381.5796178343949	0	156	156
1	157	1635.4096385542168	386.1566265060241	0	157	157
1	158	858.9383561643835	392.7739726027397	0	158	158
1	159	891.4534161490683	392.8944099378882	0	159	159
1	160	858.9558823529412	403.9264705882353	0	160	160
1	161	1367.1764705882354	412.25210084033614	0	161	161
1	162	394.16603773584905	413.2377358490566	0	162	162
1	163	885.4705882352941	417.2352941176471	0	163	163
1	164	2128.294117647059	421.4117647058824	0	164	164
1	165	2095.6176470588234	423.3529411764706	0	165	165
1	166	1353.1698113207547	421.3018867924528	0	166	166
1	167	2103.6666666666665	432.04938271604937	0	167	167
1	168	349.3990147783251	432.16748768472905	0	168	168
1	169	1337.2432432432433	437.94594594594594	0	169	169
1	170	345.7445255474453	439.94890510948903	0	170	170
1	171	1403.0263157894738	440.0921052631579	0	171	171
1	172	2137.2926829268295	439.1869918699187	0	172	172
1	173	2146.7916666666665	443.75	0	173	173
1	174	382.9166666666667	446.1212121212121	0	174	174
1	175	1437.2071428571428	450.62142857142857	0	175	175
1	176	337.4	451.76666666666665	0	176	176
1	177	1341.090909090909	452.09090909090907	0	177	177
1	178	396.83720930232556	452.6744186046512	0	178	178
1	179	340.5238095238095	455.3333333333333	0	179	179
1	180	336.41379310344826	457.0689655172414	0	180	180
1	181	393.05882352941177	459.04411764705884	0	181	181
1	182	1412.9818181818182	460.40909090909093	0	182	182
1	183	2084.587837837838	460.11486486486484	0	183	183
1	184	1389.313432835821	465.95522388059703	0	184	184
1	185	2062.103448275862	466.6896551724138	0	185	185
1	186	1340.7333333333333	467.2	0	186	186
1	187	349.58125	474.6625	0	187	187
1	188	2112.818181818182	476.3636363636364	0	188	188
1	189	1670.4705882352941	477.9117647058824	0	189	189
1	190	1625.8620689655172	479.63793103448273	0	190	190
1	191	2107.0945945945946	480.0135135135135	0	191	191
1	192	1656.1725352112676	489.57042253521126	0	192	192
1	193	1662.712765957447	498.5531914893617	0	193	193
1	194	1372.7227722772277	495.8514851485148	0	194	194
1	195	1466.258426966292	503.34831460674155	0	195	195
1	196	1615.68	503.92	0	196	196
1	197	253.42222222222222	504.8888888888889	0	197	197
1	198	251.9430894308943	511.2926829268293	0	198	198
1	199	1616.4225352112676	510.46478873239437	0	199	199
1	200	233.5593220338983	510.5762711864407	0	200	200
1	201	288.6190476190476	512.6825396825396	0	201	201
1	202	267.94117647058823	514.5294117647059	0	202	202
1	203	1610.6216216216217	517.1824324324324	0	203	203
1	204	1676.5241379310344	518.096551724138	0	204	204
1	205	1391.125	519.9711538461538	0	205	205
1	206	309.56962025316454	519.8227848101266	0	206	206
1	207	1435.2142857142858	521.7142857142857	0	207	207
1	208	1953.375939849624	526.2932330827068	0	208	208
1	209	288.82	526.8	0	209	209
1	210	1446.86301369863	525.2739726027397	0	210	210
1	211	281.4347826086956	525.1739130434783	0	211	211
1	212	1407.2794117647059	527.1862745098039	0	212	212
1	213	319.76	528.88	0	213	213
1	214	1614.921875	529.34765625	0	214	214
1	215	1221.6060606060605	533.4848484848485	0	215	215
1	216	2065.5	537.0	0	216	216
1	217	1626.1313131313132	537.8181818181819	0	217	217
1	218	211.45405405405404	543.1297297297298	0	218	218
1	219	1434.2892561983472	540.1487603305785	0	219	219
1	220	1634.027027027027	540.972972972973	0	220	220
1	221	1238.6803278688524	543.5819672131148	0	221	221
1	222	1948.5019607843137	541.2705882352941	0	222	222
1	223	2092.6444444444446	540.3925925925926	0	223	223
1	224	1956.4	547.0833333333334	0	224	224
1	225	249.34782608695653	547.1521739130435	0	225	225
1	226	1663.28	547.4	0	226	226
1	227	1934.6627450980393	550.8705882352941	0	227	227
1	228	329.4179104477612	553.9800995024875	0	228	228
1	229	1245.0	555.3030303030303	0	229	229
1	230	219.875	555.0208333333334	0	230	230
1	231	230.9375	557.275	0	231	231
1	232	1615.639534883721	560.7093023255813	0	232	232
1	233	2105.2608695652175	565.4184782608696	0	233	233
1	234	1667.6336206896551	560.9655172413793	0	234	234
1	235	2090.0298507462685	560.8358208955224	0	235	235
1	236	240.54901960784315	564.2156862745098	0	236	236
1	237	1932.7932960893854	564.8268156424581	0	237	237
1	238	2132.3150684931506	564.5479452054794	0	238	238
1	239	1922.4450261780105	568.6282722513089	0	239	239
1	240	321.6808510638298	570.2765957446809	0	240	240
1	241	1222.781690140845	568.0	0	241	241
1	242	2128.904761904762	570.4761904761905	0	242	242
1	243	2122.176470588235	573.1764705882352	0	243	243
1	244	272.5	572.75	0	244	244
1	245	1972.1843971631206	574.2198581560284	0	245	245
1	246	293.34285714285716	578.1142857142858	0	246	246
1	247	1639.2641509433963	580.2641509433962	0	247	247
1	248	304.7088122605364	580.6436781609195	0	248	248
1	249	637.0461538461539	580.8923076923077	0	249	249
1	250	1652.59375	581.21875	0	250	250
1	251	2107.6619718309857	581.7605633802817	0	251	251
1	252	1244.123595505618	583.8876404494382	0	252	252
1	253	599.6861924686192	587.0543933054394	0	253	253
1	254	1974.8451612903225	586.0516129032258	0	254	254
1	255	1231.1829787234042	588.3021276595745	0	255	255
1	256	2084.287037037037	588.7592592592592	0	256	256
1	257	972.9550173010381	588.356401384083	0	257	257
1	258	1931.1935483870968	591.1774193548387	0	258	258
1	259	2094.775280898876	591.4606741573034	0	259	259
1	260	2106.1666666666665	592.2272727272727	0	260	260
1	261	1210.4810126582279	595.3037974683544	0	261	261
1	262	1939.051282051282	595.6410256410256	0	262	262
1	263	653.829268292683	597.439024390244	0	263	263
1	264	2125.4761904761904	598.2142857142857	0	264	264
1	265	641.2797202797203	601.3986013986014	0	265	265
1	266	1230.3155339805826	601.5436893203884	0	266	266
1	267	2111.9814814814813	600.7654320987655	0	267	267
1	268	661.0416666666666	601.6111111111111	0	268	268
1	269	1288.744	602.072	0	269	269
1	270	594.28125	604.2890625	0	270	270
1	271	945.7254901960785	602.0	0	271	271
1	272	1009.2380952380952	602.5238095238095	0	272	272
1	273	1216.076923076923	602.4358974358975	0	273	273
1	274	1265.6904761904761	605.5952380952381	0	274	274
1	275	664.2857142857143	607.9591836734694	0	275	275
1	276	1007.6122448979592	614.9897959183673	0	276	276
1	277	944.6935483870968	620.0806451612904	0	277	277
1	278	1293.7575757575758	622.5	0	278	278
1	279	1004.3478260869565	624.6521739130435	0	279	279
1	280	1008.7872340425532	627.2340425531914	0	280	280
1	281	973.0384615384615	628.6923076923077	0	281	281
1	282	1020.9824561403509	631.2982456140351	0	282	282
1	283	608.8915662650602	631.4578313253012	0	283	283
1	284	664.6572438162544	635.6996466431095	0	284	284
1	285	1268.8510638297873	638.1276595744681	0	285	285
